Frame,Time (ns),(+)-Gallocatechin-(4??8)-(+)-catechin,Prodelphinidin A2 3'-gallate,Proanthocyanidin A-6
1,0,0.044582522,0.041346251,0.07381477
2,0.1,2.102163625,2.250539798,1.195669163
3,0.2,2.227066935,3.16203472,1.640735351
4,0.3,2.326979523,2.417479492,2.231676915
5,0.4,1.941462063,2.67169701,2.414721449
6,0.5,2.942962194,2.839771287,1.727022627
7,0.6,3.336374934,2.434292456,1.651065406
8,0.7,3.032653986,2.914622769,2.183759816
9,0.8,2.335050416,2.750036382,1.986427013
10,0.9,3.169631831,3.116685665,2.268858572
11,1,2.60194356,3.527136393,2.62216501
12,1.1,3.524430578,2.707210463,3.049347567
13,1.2,1.998563572,2.941191588,2.755692252
14,1.3,2.032680852,3.796878404,3.63535316
15,1.4,2.478087574,4.39103411,3.08732111
16,1.5,2.437195155,3.628173295,2.68788684
17,1.6,3.249952252,3.077247664,2.732452003
18,1.7,3.98245221,2.745892567,3.047488438
19,1.8,2.624797942,2.914309348,2.152005279
20,1.9,3.304063132,2.645239067,2.464113783
21,2,2.890591125,2.744521415,3.694237533
22,2.1,3.436798825,3.812449885,2.208553822
23,2.2,2.792335333,2.706163243,3.511555018
24,2.3,3.146259384,2.911654102,2.969230651
25,2.4,3.353268023,2.921912362,3.461880525
26,2.5001,3.868915903,2.790158757,3.261753248
27,2.6001,4.072238058,2.715818365,4.808268345
28,2.7001,2.936317751,3.12977058,4.321195344
29,2.8001,2.529626629,3.020470292,3.933533407
30,2.9001,3.265248968,3.123603138,3.474804124
31,3.0001,3.052861706,3.09189205,2.594615211
32,3.1001,2.859054938,3.539142147,4.511674567
33,3.2001,2.859812292,2.830040355,2.843627183
34,3.3001,4.446416684,3.243175583,3.333655857
35,3.4001,4.02065063,2.907300207,2.628115113
36,3.5001,3.459576705,2.848964126,6.175587231
37,3.6001,3.563954886,2.596741309,4.032655245
38,3.7001,3.238003351,3.213396543,5.487390333
39,3.8001,2.946505524,2.778025684,3.452590919
40,3.9001,5.122010005,4.288474235,4.298049878
41,4.0001,4.98069373,3.391142424,4.840537897
42,4.1001,3.887578231,3.331646843,4.766955202
43,4.2001,3.7042498,3.130885736,3.130686196
44,4.3001,5.120712756,2.872828657,2.73160117
45,4.4001,4.364619169,2.54549018,1.972641178
46,4.5001,4.173252265,3.341087771,1.979872126
47,4.6001,4.618752783,3.800329631,2.308341756
48,4.7001,5.15424659,2.674772383,3.495487083
49,4.8001,4.708092606,3.200712751,3.564726054
50,4.9001,5.164403837,2.46678637,3.830793379
51,5.0001,4.61196041,2.908515447,2.582389338
52,5.1001,4.993541868,3.695762914,1.782407418
53,5.2001,4.750999148,3.309666426,2.200984294
54,5.3001,4.938343392,3.647680243,2.370772535
55,5.4001,5.043885209,5.585148,2.284847641
56,5.5001,6.04512537,3.864843712,2.372773987
57,5.6001,5.37770697,3.652288428,2.316825541
58,5.7001,5.034088654,4.538877159,3.305139274
59,5.8001,5.682637918,4.884624622,2.834179673
60,5.9001,5.222124922,4.627862103,1.484700117
61,6.0001,5.919176896,3.955684588,2.417036983
62,6.1001,6.665308363,5.344335902,2.194911342
63,6.2001,4.861939271,4.126516421,2.563464397
64,6.3001,5.147093646,3.604845436,2.022056713
65,6.4001,6.495116233,3.425552341,2.060146946
66,6.5001,5.96301042,3.615953712,2.180014359
67,6.6001,6.65434487,3.817194225,1.551480484
68,6.7001,6.321540992,3.908967995,1.641424657
69,6.8001,4.763865316,4.185136678,3.240747614
70,6.9001,4.916143528,4.171929695,1.975342254
71,7.0001,5.607566073,4.104601644,2.72281075
72,7.1001,4.848492905,4.422785264,1.508555669
73,7.2001,5.247844123,4.792588626,2.056023478
74,7.3001,5.295282974,3.811696728,3.76865735
75,7.4001,4.53897809,3.088118168,1.898100246
76,7.5002,4.39367954,3.159596161,1.885258729
77,7.6002,4.330852382,3.238255866,1.583853778
78,7.7002,4.453501568,4.539997916,3.570438967
79,7.8002,4.642383182,3.372747497,1.923374258
80,7.9002,4.184041379,3.667160861,3.312458314
81,8.0002,5.289289399,4.066399347,2.891512393
82,8.1002,5.271956101,3.698500545,2.099683767
83,8.2002,5.428692909,3.55808661,2.130451286
84,8.3002,5.769091786,4.246041557,4.150162624
85,8.4002,5.439614773,3.922279951,3.574422496
86,8.5002,5.497599455,4.042754173,1.885810833
87,8.6002,4.943689631,3.307139131,2.526356286
88,8.7002,5.060131452,3.806946763,2.875930379
89,8.8002,5.558509361,3.545453286,2.919207131
90,8.9002,5.563587616,3.258877374,2.568175724
91,9.0002,5.480423188,3.535540031,2.133509854
92,9.1002,4.84890794,3.760673307,2.40711963
93,9.2002,5.665656464,3.615020981,4.352238495
94,9.3002,5.157146955,3.193912088,3.297396351
95,9.4002,4.307310313,2.893212171,2.918779477
