Atom Index,(+)-Gallocatechin-(4??8)-(+)-catechin,Prodelphinidin A2 3'-gallate,Proanthocyanidin A-6
0,3.962368669,3.658936021,2.059300407
1,3.350030109,4.269194558,1.919892681
2,3.746278749,3.377940469,2.696156616
3,3.889617257,3.643255173,1.834937471
4,3.273205352,3.57933239,1.776891913
5,3.610031444,3.801320848,1.892762319
6,3.023690161,3.427844148,1.970193558
7,3.710410541,4.180949522,1.933475542
8,3.136265508,3.478764639,2.079812447
9,3.478077088,3.290873096,1.945992293
10,3.445147803,4.44628378,2.106489757
11,3.754587371,3.18896827,2.309124611
12,3.977896868,3.11727215,2.501743282
13,3.937356372,3.309489278,2.418751953
14,4.412815971,3.240657437,2.317479468
15,4.511106368,3.439522588,2.710818804
16,4.33270367,3.283396557,2.884416129
17,3.862338778,4.509613324,2.11604843
18,3.607847846,5.00152626,2.085768637
19,3.375797012,5.068764385,2.291314669
20,4.649402607,5.303718199,2.253120703
21,5.145946751,3.26413358,2.000720924
22,5.497595435,3.560444988,2.212292917
23,5.395098254,3.958539477,2.414724876
24,4.934725712,3.496432113,2.485420392
25,4.544171734,3.193805735,2.619370126
26,6.068561151,3.284397264,2.374981035
27,6.302912292,3.615011609,2.914199533
28,5.874164413,3.903577686,3.103560608
29,6.150129488,3.876025802,2.803959122
30,5.052304026,3.202311206,2.966470621
31,5.309708662,3.171725717,1.773563092
32,4.139709441,3.769119079,1.922762144
33,4.3030826,3.730103199,2.1459358
34,3.228864509,4.31088496,2.171163268
35,2.967846436,4.337368109,2.214067068
36,3.785774946,2.866850747,2.426613604
37,3.70756372,2.916064293,2.457828299
38,4.391617956,2.769161377,2.447109068
39,4.635044727,2.563371494,3.199650064
40,5.129324388,2.500148889,3.589233023
41,5.421000668,2.657867591,3.890108961
42,5.455717187,3.000868221,3.869258092
43,4.953238975,2.908131995,3.873521721
44,5.602880508,2.647274892,3.543373713
45,5.88054003,2.479020845,4.52475066
46,5.95152898,2.513252645,4.706368415
47,6.194760409,2.563939403,4.222829535
48,6.208005037,3.343731687,4.385151236
49,6.504155913,3.546271208,2.587661896
50,2.827275023,3.226548036,2.626003106
51,2.869431637,3.226364326,1.840022591
52,3.701420724,3.871811769,1.811841661
53,3.877996899,3.767366926,2.405409142
54,3.154802616,3.962723236,2.679449179
55,4.037762401,4.201453499,2.484591766
56,3.679240853,4.345760786,2.915317869
57,4.049522429,4.209148482,3.015780932
58,3.066662785,4.078743819,2.133917524
59,4.644085202,4.196805341,2.506377313
60,4.437355955,4.439395374,2.51415129
61,4.319595759,4.681657282,3.128488588
62,4.622889264,4.755892593,2.736051346
63,3.671811408,4.784418049,3.913633953
64,5.353932783,4.376004153,4.366689202
65,4.98669713,4.654161202,3.829591025
66,4.284346723,5.890286778,
67,4.675128407,6.071484267,
68,5.196393386,3.576145118,
,,3.801176868,
,,3.330560619,
,,2.837137298,
,,3.6736128,
,,3.526526626,
,,3.603715507,
,,5.245213551,
,,5.366958153,
,,2.99479792,
,,4.215169517,
,,3.194439291,
,,2.760961104,
,,3.665405839,
,,4.457022734,
