Frame,Time (ns),(+)-Gallocatechin-(4??8)-(+)-catechin,,Proanthocyanidin A-6,,,
1,0,188.0346096,324.2674441,220.8951717,,,
2,0.1,206.1566173,308.1426892,196.6418448,,,Prodelphinidin A2 3'-gallate
3,0.2,195.9990348,276.8255512,195.9344896,,,
4,0.3,162.6828023,287.4296014,184.6709107,,,
5,0.4,211.1041314,313.0840212,153.5507812,,,
6,0.5,182.974437,304.950732,220.5661774,,,
7,0.6,203.2989839,285.042243,217.832338,,,
8,0.7,161.4587744,285.7241333,204.5877693,,,
9,0.8,189.3398691,274.6687741,217.8542475,,,
10,0.9,164.9594734,280.2023331,217.4526525,,,
11,1,155.6168477,313.3911905,215.7580289,,,
12,1.1,169.0070984,259.1943196,252.2502334,,,
13,1.2,161.787032,293.7476138,211.7505949,,,
14,1.3,178.7749329,294.9955823,214.8428714,,,
15,1.4,168.9073988,299.5344799,204.476044,,,
16,1.5,189.5290526,278.5150305,224.1922891,,,
17,1.6,158.1257723,295.5440253,246.6573099,,,
18,1.7,182.219942,306.8820579,254.6968473,,,
19,1.8,162.2498681,286.1772726,245.4671085,,,
20,1.9,221.1681199,334.0591305,253.4612804,,,
21,2,202.586188,327.7408411,301.9935213,,,
22,2.1,226.8267329,297.6406613,285.7619053,,,
23,2.2,211.9496511,332.892598,275.1454683,,,
24,2.3,232.8462724,319.0774876,259.5296386,,,
25,2.4,193.4318015,305.6882319,248.5666322,,,
26,2.5001,188.0251552,349.541671,261.556261,,,
27,2.6001,226.6915366,337.5145426,253.0429642,,,
28,2.7001,255.0705305,260.4867542,263.2364475,,,
29,2.8001,243.8162977,325.6453242,327.509487,,,
30,2.9001,251.4081261,320.7259331,260.4388635,,,
31,3.0001,234.2443728,381.9772022,256.4009929,,,
32,3.1001,229.9883715,320.2175671,337.3159706,,,
33,3.2001,242.638095,345.0975097,330.1656052,,,
34,3.3001,276.3401035,292.8694405,306.9565876,,,
35,3.4001,246.5815739,334.0192379,279.8427259,,,
36,3.5001,247.454365,379.3778158,324.6470321,,,
37,3.6001,236.6781932,370.3758194,299.0949601,,,
38,3.7001,223.0831958,295.7891907,315.822303,,,
39,3.8001,230.3761433,306.4896538,299.4612952,,,
40,3.9001,200.918597,321.3223794,274.126235,,,
41,4.0001,234.2532595,346.9650516,332.577633,,,
42,4.1001,233.097031,338.588031,306.2697132,,,
43,4.2001,237.4017847,374.8557504,263.0773015,,,
44,4.3001,240.2706381,368.3417709,247.474198,,,
45,4.4001,218.7210509,362.6086232,261.4790716,,,
46,4.5001,268.1265226,378.6979851,280.9154995,,,
47,4.6001,280.4718584,364.7136404,290.9237985,,,
48,4.7001,267.2305455,369.2279755,322.7087042,,,
