Frame,Time (ns),(+)-Gallocatechin-(4??8)-(+)-catechin,Prodelphinidin A2 3'-gallate,Proanthocyanidin A-6
1,0,4.734289398,5.630790146,5.51178443
2,0.1,4.693209809,5.608653047,5.537105732
3,0.2,4.70698104,5.565627542,5.53027843
4,0.3,4.710003768,5.835074856,5.591723455
5,0.4,4.910875994,5.786353429,5.581562496
6,0.5,4.74997556,5.745245164,5.515107716
7,0.6,4.836526509,5.724837957,5.551180199
8,0.7,4.644600903,5.725565579,5.523489078
9,0.8,4.604686341,5.723963849,5.472905838
10,0.9,4.656938939,5.811495957,5.526336207
11,1,4.681015507,5.9171128,5.567003255
12,1.1,4.864205888,5.83990066,5.534268688
13,1.2,4.651015629,6.05671365,5.479911602
14,1.3,4.710054082,6.001536757,5.569731919
15,1.4,4.674061516,6.063238428,5.469777801
16,1.5,4.694367834,5.99795971,5.396816142
17,1.6,4.752482453,6.188965385,5.52930713
18,1.7,4.566977416,6.100187135,5.554997038
19,1.8,4.692166262,6.117569827,5.488890682
20,1.9,4.763469032,6.084603423,5.533647049
21,2,4.711386654,6.07466714,5.534810308
22,2.1,4.4683782,6.064143812,5.496561629
23,2.2,4.665890688,6.043401567,5.539004647
24,2.3,4.604194789,6.076423378,5.591844918
25,2.4,4.629203829,6.115250149,5.500517839
26,2.5001,4.731837587,6.091570113,5.483454012
27,2.6001,4.564655587,6.101609056,5.482880608
28,2.7001,4.75761363,6.073868307,5.55176817
29,2.8001,4.743075909,6.077655908,5.560913084
30,2.9001,4.707119684,5.995229381,5.480673079
31,3.0001,4.77435245,6.101256595,5.521583074
32,3.1001,4.689347534,6.081656305,5.567355243
33,3.2001,4.713907614,6.01817158,5.536895973
34,3.3001,4.665477822,6.073470222,5.486857678
35,3.4001,4.748062395,6.076549035,5.456134576
36,3.5001,4.745037352,6.056656458,5.489685004
37,3.6001,4.692896335,6.054244321,5.545655809
38,3.7001,4.671144454,5.998573684,5.519961431
39,3.8001,4.727592778,6.101958496,5.444152292
40,3.9001,4.695619384,6.108618706,5.570038939
41,4.0001,4.676066072,6.076497574,5.438862434
42,4.1001,4.641438659,6.051622621,5.524371757
43,4.2001,4.66974516,6.023569688,5.593341749
44,4.3001,4.756321151,6.040007186,5.47970442
45,4.4001,4.703671396,6.074867657,5.468765361
46,4.5001,4.73993518,6.051237092,5.495201502
47,4.6001,4.714112662,6.058760472,5.460551839
48,4.7001,4.607451478,5.976674898,5.45609208
49,4.8001,4.566916513,6.031562157,5.505646456
50,4.9001,4.4409187,6.120336437,5.466702047
51,5.0001,4.500176811,6.043019914,5.558847242
52,5.1001,4.516871666,6.0481436,5.537750752
53,5.2001,4.479310366,6.0713493,5.531884861
54,5.3001,4.510147783,6.090585036,5.480985286
55,5.4001,4.492288769,6.004510185,5.464546394
56,5.5001,4.558912275,6.051565031,5.501749752
57,5.6001,4.56181058,6.033764743,5.620821258
58,5.7001,4.518161174,6.054122075,5.446514755
59,5.8001,4.536278978,6.051026566,5.484554686
60,5.9001,4.529411373,6.099861268,5.588100412
61,6.0001,4.579599739,6.154070572,5.538955904
62,6.1001,4.600807615,6.055485802,5.522087345
63,6.2001,4.546328737,6.104481957,5.482399052
64,6.3001,4.509673372,6.034034618,5.494576003
65,6.4001,4.576995617,6.09584138,5.532893269
66,6.5001,4.597297906,6.013112628,5.451606078
67,6.6001,4.597125825,6.060966865,5.553479888
68,6.7001,4.56215426,6.042377762,5.510318083
69,6.8001,4.592212762,5.980114882,5.538954741
70,6.9001,4.615671618,6.020271002,5.570646192
71,7.0001,4.564303526,6.115073621,5.498896373
72,7.1001,4.547768964,6.100061055,5.5160104
73,7.2001,4.573255292,6.031304678,5.464364543
74,7.3001,4.487955345,6.006952205,5.557743206
75,7.4001,4.512384755,6.023828348,5.556516404
76,7.5002,4.511623434,6.041519427,5.614711686
77,7.6002,4.490289418,5.995645453,5.520969751
78,7.7002,4.553680996,6.011198743,5.528703335
79,7.8002,4.518654989,6.060272206,5.538440374
80,7.9002,4.510154199,6.02393327,5.530487066
81,8.0002,4.52336452,5.991993486,5.511731054
82,8.1002,4.575555948,6.043281004,5.4918458
83,8.2002,4.561797893,5.998708044,5.530892453
84,8.3002,4.582782274,6.11873473,5.499012669
85,8.4002,4.548792974,6.018690578,5.522449874
86,8.5002,4.499749242,6.080190676,5.469885913
87,8.6002,4.54074081,6.028053002,5.462952612
88,8.7002,4.585892274,6.067473775,5.471050944
89,8.8002,4.596751135,5.938923592,5.50721771
90,8.9002,4.565137667,6.057790627,5.50770598
91,9.0002,4.519549165,6.029627981,5.559695995
92,9.1002,4.525212218,6.076966577,5.473130901
93,9.2002,4.591262287,6.078664979,5.533930202
94,9.3002,4.576866346,6.029302644,5.604177233
95,9.4002,4.510006096,5.965000067,5.546649307
96,9.5002,4.526526829,6.015645739,5.525437328
97,9.6002,4.523665126,6.053485749,5.596859617
98,9.7002,4.483206672,6.055853968,5.550234
99,9.8002,4.611608182,5.950159647,5.560756309
100,9.9002,4.531490283,6.089065222,5.541270231
101,10.0002,4.563807593,6.021878255,5.516501257
102,10.1002,4.568635124,6.068623843,5.510154405
103,10.2002,4.601425732,6.003221477,5.500915674
104,10.3002,4.487415783,5.984154466,5.481082135
105,10.4002,4.491362289,6.056574021,5.50477684
106,10.5002,4.504280672,6.016021137,5.537695863
107,10.6002,4.600588686,6.019864984,5.523779451
108,10.7002,4.442544298,5.94811743,5.579523392
109,10.8002,4.526544548,6.042408866,5.464353093
